Género;EJÉRCITO;FICCIÓN;MÉRITOS;MITOLOGÍA;NOBLEZA;POLÍTICA;PROFESIÓN;RELIGIÓN;VECINX;No categorizado
FEMENINO;0,00;0,01;0,18;0,05;0,09;0,02;0,02;0,32;0,30;0,02
MASCULINO;0,06;0,01;0,34;0,01;0,08;0,08;0,03;0,15;0,05;0,20
